"","x"
"613","Q08689"
"614","P40518"
"615","P40517"
"616","P53144"
"617","P53143"
"618","Q3E837"
"619","Q3E838"
"620","P53169"
"621","P40496"
"622","P53113"
"623","P36042"
"624","Q07351"
"625","O13553"
"626","P40072"
"627","P40526"
"628","P43618"
"629","P40525"
"630","P43617"
"631","P35202"
"632","P38888"
"633","Q03124"
"634","Q07381"
"635","Q6B0R2"
"636","P39557"
"637","P39564"
"638","P40086"
"639","Q03125"
"640","Q07395"
"641","P32523"
"642","Q01560"
"643","Q01590"
"644","Q12377"
"645","P40529"
"646","P43621"
"647","P46954"
"648","Q04893"
"649","P47028"
"650","P40523"
"651","P43615"
"652","P32781"
"653","Q07879"
"654","Q12373"
"655","Q3E846"
"656","P0CF22"
"657","Q03103"
"658","P38890"
"659","Q45U48"
"660","P32790"
"661","Q01519"
"662","O13555"
"663","P40079"
"664","P32524"
"665","Q01649"
"666","Q12378"
"667","Q04311"
"668","Q12265"
"669","Q8TGK5"
"670","P47015"
"671","Q06156"
"672","P39988"
"673","P38688"
"674","Q8TGU6"
"675","P33303"
"676","P40344"
"677","P53912"
"678","Q12111"
"679","P47074"
"680","P40060"
"681","Q12489"
"682","P09959"
"683","P00942"
"684","P33441"
"685","P02400"
"686","P33767"
"687","Q3E7A9"
"688","P38126"
"689","P36088"
"690","P40150"
"691","P21826"
"692","P06101"
"693","Q08486"
"694","Q06688"
"695","Q03829"
"696","P14905"
"697","P32642"
"698","P31382"
"699","P32329"
"700","Q02256"
"701","O13527"
"702","Q92325"
"703","Q12055"
"704","Q99231"
"705","P35210"
"706","P38739"
"707","P35209"
"708","P38740"
"709","P26786"
"710","P34250"
"711","P38737"
"712","P53238"
"713","Q03418"
"714","P28777"
"715","P34216"
"716","P53629"
"717","Q3E815"
"718","P46675"
"719","P53844"
"720","Q02606"
"721","P53628"
"722","P53685"
"723","P53688"
"724","P39559"
"725","P39566"
"726","P06839"
"727","O43137"
"728","P19158"
"729","P16862"
"730","P18900"
"731","P16658"
"732","O13549"
"733","P40070"
"734","O13550"
"735","P40071"
"736","O13557"
"737","P40077"
"738","P35203"
"739","P32792"
"740","P38889"
"741","Q6B0R7"
"742","Q9ZZX8"
"743","P36051"
"744","P53198"
"745","P53201"
"746","P53584"
"747","P53617"
"748","P53631"
"749","P53686"
"750","P0CX92"
"751","P0CX39"
"752","P0CX91"
"753","P0CX40"
"754","P11433"
"755","P11412"
"756","P53616"
"757","P38969"
"758","P42950"
"759","P53077"
"760","P38258"
"761","Q04383"
"762","P34241"
"763","P34239"
"764","P40537"
"765","P53719"
"766","P42944"
"767","A0A023PXP7"
"768","P53154"
"769","P39011"
"770","P16603"
"771","P53737"
"772","P28240"
"773","Q99296"
"774","P05694"
"775","P32837"
"776","P38810"
"777","P13517"
"778","P10127"
"779","P32805"
"780","P32908"
"781","P19263"
"782","P37264"
"783","A0A023PYK2"
"784","P53117"
"785","Q12307"
"786","P25342"
"787","P19211"
"788","P36531"
"789","P54999"
"790","P22149"
"791","Q06505"
"792","A0A023PZG4"
"793","P20437"
"794","P32375"
"795","Q8TGL4"
"796","P07213"
"797","Q07551"
"798","P0CL41"
"799","P0CL39"
"800","Q04276"
"801","Q03361"
"802","Q02932"
"803","P40062"
"804","P39108"
"805","Q06235"
"806","Q06390"
"807","Q00947"
"808","P25569"
"809","P43542"
"810","P36134"
"811","P08459"
"812","Q08914"
"813","P25491"
"814","P40105"
"815","Q02804"
"816","Q00873"
"817","P42939"
"818","P38360"
"819","Q04792"
"820","P48565"
"821","Q12315"
"822","Q05583"
"823","P0C289"
"824","Q06525"
"825","P38359"
"826","P51533"
"827","Q04233"
"828","Q02206"
"829","P38084"
"830","P13393"
"831","P41909"
"832","Q12220"
"833","P21375"
"834","Q03048"
"835","P53852"
"836","P39985"
"837","Q06494"
"838","P53284"
"839","P24280"
"840","P53299"
"841","Q12093"
"842","P38787"
"843","Q03002"
"844","A0A023PZG0"
"845","Q05898"
"846","P34232"
"847","P36014"
"848","O13588"
"849","Q03029"
"850","P40187"
"851","P39731"
"852","P38165"
"853","P22141"
"854","P25301"
"855","P38205"
"856","P0C272"
"857","P38727"
"858","Q08428"
"859","Q99373"
"860","P48836"
"861","P48365"
"862","Q12029"
"863","P14681"
"864","P36152"
"865","Q08954"
"866","P32325"
"867","P48439"
"868","P05745"
"869","Q05676"
"870","Q3E737"
"871","P53884"
"872","P53735"
"873","P43540"
"874","P47159"
"875","P43123"
"876","P38315"
"877","P22217"
"878","P39730"
"879","P36096"
"880","P34253"
"881","P25558"
"882","P53039"
"883","P48240"
"884","P53752"
"885","Q02770"
"886","P53142"
"887","P25298"
"888","P22136"
"889","P48239"
"890","P25375"
"891","Q12195"
"892","P40969"
"893","Q04225"
"894","P07272"
"895","P54005"
"896","Q04033"
"897","Q12505"
"898","P22138"
"899","P25608"
"900","Q02554"
"901","Q99359"
"902","P38164"
"903","P47082"
"904","P40556"
"905","Q12317"
"906","P25371"
"907","P15565"
"908","P25648"
"909","P32333"
"910","Q12518"
"911","P24276"
"912","P53263"
"913","P35996"
"914","P12687"
"915","P47121"
"916","P38874"
"917","Q08844"
"918","P06787"
"919","P22336"
"920","P40188"
"921","Q12289"
"922","P0C5B8"
"923","P07172"
"924","P10961"
"925","P53105"
"926","P06777"
"927","P0CY07"
"928","P07703"
"929","P31378"
"930","P40156"
"931","P35184"
"932","P38778"
"933","P53340"
"934","P40960"
"935","P53867"
"936","P40015"
"937","Q06344"
"938","P40483"
"939","P0CX23"
"940","P39535"
"941","Q12104"
"942","P36139"
"943","P10849"
"944","P53309"
"945","P07269"
"946","P24870"
"947","P38828"
"948","Q04149"
"949","O13583"
"950","P38275"
"951","P32913"
"952","Q06623"
"953","P38968"
"954","P46973"
"955","Q96VG6"
"956","P30283"
"957","P40001"
"958","P40000"
"959","Q12418"
"960","P53851"
"961","P18962"
"962","Q06822"
"963","P10592"
"964","P39109"
"965","P38821"
"966","P47187"
"967","Q05648"
"968","Q06091"
"969","Q12078"
"970","P24871"
"971","P38286"
"972","P32466"
"973","P0CX12"
"974","Q99394"
"975","Q06139"
"976","P38748"
"977","Q06053"
"978","P0CX15"
"979","P07143"
"980","O75012"
"981","Q99297"
"982","A0A023PYD0"
"983","A0A023PYC6"
"984","A0A023PXQ9"
"985","P06838"
"986","P00330"
"987","P0CE90"
"988","P32892"
"989","P69850"
"990","Q08561"
"991","P39971"
"992","P69771"
"993","P06785"
"994","Q12149"
"995","P47006"
"996","P38956"
"997","P38150"
"998","Q03957"
"999","P04397"
"1000","Q03697"
"1001","P39112"
"1002","P08431"
"1003","P53847"
"1004","Q3E7Y3"
"1005","P53057"
"1006","P16892"
"1007","Q08241"
"1008","P46956"
"1009","P25046"
"1010","P53274"
"1011","P32452"
"1012","P53930"
"1013","Q08952"
"1014","Q12680"
"1015","Q12284"
"1016","Q12690"
"1017","Q12426"
"1018","P41834"
"1019","Q08199"
"1020","P06168"
"1021","P13134"
"1022","P37292"
"1023","P38769"
"1024","Q01855"
"1025","P20484"
"1026","P53879"
"1027","P36110"
"1028","Q04216"
"1029","Q03195"
"1030","P09435"
"1031","P40350"
"1032","P87283"
"1033","Q07896"
"1034","Q99341"
"1035","Q06078"
"1036","Q04500"
"1037","Q07500"
"1038","Q04329"
"1039","Q99337"
"1040","Q12050"
"1041","Q8TGQ1"
"1042","P43122"
"1043","P08593"
"1044","Q99385"
"1045","Q12161"
"1046","Q04100"
"1047","Q3E813"
"1048","P37293"
"1049","P40959"
"1050","Q08919"
"1051","P47143"
"1052","P43636"
"1053","P47117"
"1054","P53339"
"1055","P08019"
"1056","P13663"
"1057","Q3E7A7"
"1058","Q12000"
"1059","P80210"
"1060","P43625"
"1061","P40471"
"1062","P36520"
"1063","Q08202"
"1064","P47014"
"1065","P53337"
"1066","Q12334"
"1067","P36132"
"1068","Q12038"
"1069","P43548"
"1070","P35056"
"1071","P53753"
"1072","Q3E832"
"1073","Q12118"
"1074","P0C5N4"
"1075","P46958"
"1076","P46959"
"1077","P46961"
"1078","P33299"
"1079","P06102"
"1080","Q3E7A4"
"1081","P52868"
"1082","Q3E743"
"1083","P30822"
"1084","P30902"
"1085","P46670"
"1086","P40558"
"1087","P40339"
"1088","P53121"
"1089","Q06709"
"1090","P25350"
"1091","P27895"
"1092","P53171"
"1093","Q12493"
"1094","P40567"
"1095","P38064"
"1096","Q06592"
"1097","P14359"
"1098","P38931"
"1099","Q06702"
"1100","P15202"
"1101","Q12300"
"1102","P53119"
"1103","Q12239"
"1104","P32491"
"1105","Q08503"
"1106","P34223"
"1107","P43572"
"1108","Q04487"
"1109","P38206"
"1110","Q6B0Y8"
"1111","Q12147"
"1112","P39966"
"1113","P32806"
"1114","Q04658"
"1115","P38171"
"1116","Q08471"
"1117","P37262"
"1118","P33442"
"1119","Q12292"
"1120","P38430"
"1121","O13531"
"1122","Q06214"
"1123","P25366"
"1124","P53890"
"1125","Q12260"
"1126","Q2V2P8"
"1127","P53246"
"1128","P07252"
"1129","P38234"
"1130","Q12144"
"1131","P38768"
"1132","O13522"
"1133","P41697"
"1134","P53104"
"1135","P38250"
"1136","P38753"
"1137","P25040"
"1138","P51534"
"1139","Q12389"
"1140","Q07963"
"1141","P53858"
"1142","Q07913"
"1143","P25586"
"1144","P46367"
"1145","Q08214"
"1146","P38795"
"1147","P40092"
"1148","P38151"
"1149","P48510"
"1150","P35733"
"1151","P0CX68"
"1152","P0CX66"
"1153","P38934"
"1154","P38932"
"1155","P53151"
"1156","Q06451"
"1157","Q02781"
"1158","P40465"
"1159","Q8TGN6"
"1160","P0CX94"
"1161","P39677"
"1162","Q00245"
"1163","P39980"
"1164","Q06144"
"1165","Q99260"
"1166","P32607"
"1167","P36071"
"1168","P38352"
"1169","P25587"
"1170","P47976"
"1171","P53070"
"1172","P53071"
"1173","Q06504"
"1174","P53228"
"1175","P54730"
"1176","Q03187"
"1177","P16664"
"1178","P19097"
"1179","P38682"
"1180","P39077"
"1181","P38708"
"1182","Q02890"
"1183","P46997"
"1184","Q03036"
"1185","P32435"
"1186","Q04120"
"1187","P00331"
"1188","Q03308"
"1189","P53926"
"1190","Q04489"
"1191","Q04477"
"1192","P05744"
"1193","P53173"
"1194","P39110"
"1195","P38723"
"1196","P50875"
"1197","P07246"
"1198","P25659"
"1199","P32604"
"1200","Q03579"
"1201","P49626"
"1202","P32807"
"1203","Q99332"
"1204","Q04210"
"1205","P03965"
"1206","Q12321"
"1207","Q12320"
"1208","Q05933"
"1209","Q12522"
"1210","P31412"
"1211","P47010"
"1212","Q06674"
"1213","P38628"
"1214","Q8TGT3"
"1215","P17536"
"1216","P53825"
"1217","Q08732"
"1218","P16451"
"1219","Q07989"
"1220","P53272"
"1221","Q07988"
"1222","Q8TGM7"
"1223","Q12077"
"1224","P20438"
"1225","Q04597"
"1226","P02994"
"1227","Q01896"
"1228","Q12138"
"1229","P53066"
"1230","Q04814"
"1231","P50276"
"1232","Q03079"
"1233","Q03466"
"1234","P36168"
"1235","P0CX89"
"1236","P21306"
"1237","P33753"
"1238","Q04182"
"1239","P0CX87"
"1240","P0CX54"
"1241","P10356"
"1242","P40564"
"1243","P11075"
"1244","P10080"
"1245","P36131"
"1246","P36136"
"1247","P36133"
"1248","P10964"
"1249","P0CX48"
"1250","P0CX55"
"1251","P0CT04"
"1252","P0CX73"
"1253","P11491"
"1254","P0CX47"
"1255","P0CX49"
"1256","P0CX50"
"1257","P0CX52"
"1258","P0CX72"
"1259","P0CX76"
"1260","P0CX77"
"1261","P0CX53"
"1262","P0CY08"
"1263","P0CX83"
"1264","P0CX84"
"1265","P0CX85"
"1266","P0CX86"
"1267","P0CX88"
"1268","P0CX95"
"1269","P0CX67"
"1270","P10081"
"1271","P10174"
"1272","P11325"
"1273","P0CL40"
"1274","P0CS90"
"1275","P0CW40"
"1276","P0CX08"
"1277","P0CX57"
"1278","P10834"
"1279","P0CW41"
"1280","P0CL27"
"1281","P0CX31"
"1282","P0CL36"
"1283","P11746"
"1284","P0CX78"
"1285","P0CX37"
"1286","P0CX20"
"1287","P0CX97"
"1288","P10507"
"1289","P0CL30"
"1290","P0CL29"
"1291","P53281"
"1292","P14126"
"1293","P0CL35"
"1294","P10566"
"1295","P17260"
"1296","P38111"
"1297","P33412"
"1298","P35187"
"1299","P33413"
"1300","Q05521"
"1301","P47110"
"1302","P32597"
"1303","P0CI67"
"1304","P0CL23"
"1305","P0CL25"
"1306","P0CL26"
"1307","P0CF33"
"1308","P0CL31"
"1309","P0CL33"
"1310","P0CL34"
"1311","P0CF36"
"1312","P0CT86"
"1313","P0CX09"
"1314","P0CX10"
"1315","P0CX11"
"1316","P0CX13"
"1317","P0CX14"
"1318","P0CX16"
"1319","P0CX17"
"1320","P0CX18"
"1321","P0CX19"
"1322","P0CX22"
"1323","P0CG63"
"1324","P0CX24"
"1325","P0CX25"
"1326","P0CX26"
"1327","P0CX28"
"1328","P0CX29"
"1329","P0CX32"
"1330","P0CX34"
"1331","P0CH08"
"1332","P0CX35"
"1333","P0CX36"
"1334","P0CX41"
"1335","P0CX42"
"1336","P0CX43"
"1337","P0CX44"
"1338","P0CX45"
"1339","P0CX46"
"1340","P0CH63"
"1341","P0CH64"
"1342","P0CI66"
"1343","P11633"
"1344","P11655"
"1345","P11709"
"1346","P11745"
"1347","P11747"
"1348","P11792"
"1349","P0CX56"
"1350","P0CX59"
"1351","P0CX60"
"1352","P0CX61"
"1353","P0CX62"
"1354","P0CX63"
"1355","P0CX70"
"1356","P0CX71"
"1357","P0CX79"
"1358","P0CX81"
"1359","P0CX96"
"1360","P0CX99"
"1361","P0CY00"
"1362","P0CY02"
"1363","P0CY03"
"1364","P0CY04"
"1365","P0CY05"
"1366","P0CY06"
"1367","P0CY09"
"1368","P0CY11"
"1369","P0CY13"
"1370","P0CZ17"
"1371","P10081"
"1372","P10355"
"1373","P10363"
"1374","P10659"
"1375","P10662"
"1376","P10664"
"1377","P10823"
"1378","P10862"
"1379","P10863"
"1380","P10870"
"1381","P10962"
"1382","P10963"
"1383","P11076"
"1384","P11154"
"1385","P11632"
"1386","P10622"
"1387","P16523"
"1388","P16522"
"1389","Q02821"
"1390","P35208"
"1391","P39961"
"1392","Q08282"
"1393","P19541"
"1394","P38374"
"1395","P38085"
"1396","Q12676"
"1397","P53049"
"1398","P35169"
"1399","P18412"
"1400","Q03434"
"1401","Q08842"
"1402","Q02201"
"1403","Q3E6R4"
"1404","P42951"
"1405","Q06707"
"1406","P43565"
"1407","P47046"
"1408","P40479"
"1409","Q05568"
"1410","Q08995"
"1411","P48445"
"1412","P24309"
"1413","P0CD99"
"1414","P43634"
"1415","P36070"
"1416","P53878"
"1417","P38734"
"1418","Q07508"
"1419","Q07505"
"1420","P43564"
"1421","O13530"
"1422","O13532"
"1423","O13529"
"1424","P06704"
"1425","Q08300"
"1426","Q01976"
"1427","P38088"
"1428","P36157"
"1429","P40510"
"1430","P53507"
"1431","P32378"
"1432","Q12001"
"1433","A0A0B7P3V8"
"1434","P38298"
"1435","P32768"
"1436","Q06090"
"1437","P37261"
"1438","Q05934"
"1439","A0A023PZE1"
"1440","A0A023PZD0"
"1441","A0A023PZD5"
"1442","Q12107"
"1443","P39744"
"1444","Q04413"
"1445","P33200"
"1446","Q12046"
"1447","P32567"
"1448","P52286"
"1449","P51998"
"1450","P00128"
"1451","P48016"
"1452","P47988"
"1453","P47977"
"1454","P47101"
"1455","P47102"
"1456","Q04116"
"1457","P53068"
"1458","Q03864"
"1459","Q03862"
"1460","Q03860"
"1461","P48526"
"1462","P48525"
"1463","P38297"
"1464","P00817"
"1465","Q2V2Q0"
"1466","P38143"
"1467","P47095"
"1468","P19736"
"1469","P32448"
"1470","P27697"
"1471","P22137"
"1472","Q04991"
"1473","P53909"
"1474","Q8TGP9"
"1475","P38835"
"1476","Q3E790"
"1477","P35183"
"1478","P38705"
"1479","P0C2I3"
"1480","P53175"
"1481","Q12145"
"1482","P05317"
"1483","P32898"
"1484","P52870"
"1485","O14464"
"1486","Q02983"
"1487","P53896"
"1488","P28319"
"1489","P0CD91"
"1490","Q12442"
"1491","P39924"
"1492","P47115"
"1493","P40045"
"1494","P32795"
"1495","Q8TGT4"
"1496","Q04431"
"1497","P32447"
"1498","Q08411"
"1499","P25335"
"1500","Q03796"
"1501","Q12273"
"1502","Q8TGR5"
"1503","P36111"
"1504","Q6Q595"
"1505","Q03612"
"1506","P38138"
"1507","P38137"
"1508","P38805"
"1509","P47111"
"1510","Q05947"
"1511","A0A023PZB8"
"1512","P25650"
"1513","P35207"
"1514","P47064"
"1515","P07274"
"1516","P38808"
"1517","A0A023PYD7"
"1518","A0A023PYG5"
"1519","A0A023PYD3"
"1520","A0A023PYE4"
"1521","A0A023PYE9"
"1522","A0A023PYH0"
"1523","A0A023PYH5"
"1524","A0A023PYJ0"
"1525","A0A023PYJ4"
"1526","A0A023PYG1"
"1527","A0A023PYI5"
"1528","A0A023PYD9"
"1529","A0A023PYI2"
"1530","P47181"
"1531","P53156"
"1532","P22804"
"1533","P36160"
"1534","P38308"
"1535","Q05611"
"1536","Q05610"
